Dimension,K,Mean_Degree,CV_Degree
9,3,5.38,0.0093
9,4,7.13,0.0073
9,5,8.76,0.0122
9,6,10.22,0.01
9,7,11.43,0.0113
9,8,12.43,0.0085
9,9,13.23,0.0092
9,10,13.81,0.0134
9,11,14.25,0.0082
9,12,14.73,0.0127
9,13,15.02,0.0105
9,14,15.25,0.0133
9,15,15.39,0.0111
9,16,15.45,0.0135
9,17,15.49,0.0151
9,18,15.48,0.0125
9,19,15.57,0.0129
9,20,15.47,0.0148
9,21,15.44,0.0121
9,22,15.38,0.011
9,23,15.28,0.0108
9,24,15.17,0.0143
9,25,15.09,0.0125
9,26,14.99,0.015
9,27,14.87,0.0132
9,28,14.71,0.0123
9,29,14.55,0.0135
9,30,14.44,0.0128
9,31,14.31,0.0132
9,32,14.16,0.015
9,33,14.06,0.0118
9,34,13.87,0.0125
9,35,13.82,0.0127
9,36,13.61,0.0109
9,37,13.54,0.0114
9,38,13.38,0.0122
9,39,13.27,0.0113
9,40,13.13,0.0128
9,41,13.01,0.0132
9,42,12.84,0.0101
9,43,12.7,0.0109
9,44,12.61,0.0128
9,45,12.52,0.0116
9,46,12.35,0.0123
9,47,12.23,0.0137
9,48,12.17,0.0125
9,49,12.06,0.0127
10,1,1.79,0.0279
10,2,3.55,0.0174
10,3,5.39,0.0056
10,4,7.17,0.0061
10,5,8.83,0.01
10,6,10.4,0.0115
10,7,11.74,0.0102
10,8,12.86,0.0103
10,9,13.71,0.0103
10,10,14.46,0.0118
10,11,15.06,0.0107
10,12,15.53,0.0107
10,13,15.95,0.0129
10,14,16.25,0.0104
10,15,16.43,0.0119
10,16,16.58,0.0097
10,17,16.74,0.0135
10,18,16.76,0.0129
10,19,16.76,0.0116
10,20,16.79,0.0117
10,21,16.77,0.0134
10,22,16.68,0.0118
10,23,16.57,0.0127
10,24,16.51,0.0155
10,25,16.43,0.0106
10,26,16.27,0.0112
10,27,16.15,0.0118
10,28,16.05,0.0151
10,29,15.93,0.0109
10,30,15.8,0.0128
10,31,15.77,0.0117
10,32,15.55,0.0109
10,33,15.4,0.0108
10,34,15.32,0.0101
10,35,15.1,0.0092
10,36,14.96,0.015
10,37,14.88,0.0089
10,38,14.78,0.0112
10,39,14.6,0.0094
10,40,14.44,0.0127
10,41,14.35,0.0093
10,42,14.22,0.0129
10,43,14.08,0.0142
10,44,13.92,0.0132
10,45,13.76,0.0099
10,46,13.6,0.0133
10,47,13.51,0.0116
10,48,13.39,0.011
10,49,13.25,0.0146
11,1,1.76,0.0455
11,2,3.57,0.0147
11,3,5.39,0.0042
11,4,7.18,0.0049
11,5,8.91,0.0062
11,6,10.52,0.0065
11,7,11.92,0.0114
11,8,13.12,0.0105
11,9,14.13,0.011
11,10,15.0,0.0099
11,11,15.72,0.0087
11,12,16.3,0.008
11,13,16.71,0.0096
11,14,17.07,0.0128
11,15,17.37,0.0128
11,16,17.57,0.011
11,17,17.74,0.0134
11,18,17.72,0.0109
11,19,17.81,0.0106
11,20,17.83,0.0135
11,21,17.78,0.0098
11,22,17.77,0.0122
11,23,17.77,0.0117
11,24,17.67,0.0149
11,25,17.6,0.0125
11,26,17.48,0.012
11,27,17.43,0.011
11,28,17.23,0.0114
11,29,17.05,0.0111
11,30,17.04,0.0117
11,31,16.78,0.0094
11,32,16.71,0.0132
11,33,16.59,0.0101
11,34,16.46,0.01
11,35,16.3,0.0134
11,36,16.1,0.0105
11,37,15.98,0.0102
11,38,15.89,0.0109
11,39,15.73,0.0133
11,40,15.61,0.0104
11,41,15.44,0.0116
11,42,15.27,0.0127
11,43,15.15,0.0105
11,44,14.97,0.0099
11,45,14.8,0.0095
11,46,14.71,0.0094
11,47,14.58,0.0116
11,48,14.53,0.0137
11,49,14.31,0.0096
12,1,1.78,0.0337
12,2,3.56,0.0173
12,3,5.4,0.0031
12,4,7.19,0.0028
12,5,8.92,0.0074
12,6,10.58,0.0074
12,7,12.1,0.0092
12,8,13.31,0.0093
12,9,14.49,0.0102
12,10,15.46,0.0102
12,11,16.19,0.0082
12,12,16.86,0.0107
12,13,17.31,0.0091
12,14,17.8,0.0083
12,15,18.05,0.0111
12,16,18.32,0.0113
12,17,18.46,0.0121
12,18,18.7,0.0114
12,19,18.73,0.0108
12,20,18.72,0.0073
12,21,18.8,0.0111
12,22,18.74,0.0081
12,23,18.71,0.0089
12,24,18.61,0.0086
12,25,18.57,0.0104
12,26,18.54,0.0136
12,27,18.38,0.0125
12,28,18.27,0.0108
12,29,18.1,0.0115
12,30,18.07,0.0127
12,31,17.85,0.0111
12,32,17.77,0.0112
12,33,17.6,0.0093
12,34,17.4,0.0133
12,35,17.28,0.0086
12,36,17.14,0.0112
12,37,16.98,0.0083
12,38,16.88,0.0101
12,39,16.7,0.0103
12,40,16.57,0.0102
12,41,16.39,0.0103
12,42,16.23,0.0112
12,43,16.07,0.0112
12,44,16.02,0.0086
12,45,15.78,0.0106
12,46,15.67,0.0124
12,47,15.47,0.01
12,48,15.36,0.0098
12,49,15.21,0.012
13,1,1.79,0.0279
13,2,3.57,0.0143
13,3,5.4,0.0031
13,4,7.19,0.003
13,5,8.95,0.0064
13,6,10.63,0.0054
13,7,12.15,0.0087
13,8,13.55,0.009
13,9,14.73,0.0099
13,10,15.75,0.0087
13,11,16.59,0.0108
13,12,17.29,0.0102
13,13,17.88,0.0078
13,14,18.42,0.0116
13,15,18.68,0.0094
13,16,18.95,0.0116
13,17,19.2,0.0109
13,18,19.45,0.0117
13,19,19.56,0.0106
13,20,19.55,0.0099
13,21,19.6,0.0125
13,22,19.58,0.0108
13,23,19.53,0.0091
13,24,19.53,0.0103
13,25,19.43,0.0087
13,26,19.32,0.0109
13,27,19.31,0.0118
13,28,19.14,0.0101
13,29,19.01,0.0104
13,30,18.93,0.0147
13,31,18.74,0.0108
13,32,18.58,0.0102
13,33,18.44,0.0117
13,34,18.34,0.0113
13,35,18.16,0.0106
13,36,17.94,0.0112
13,37,17.81,0.0109
13,38,17.66,0.0098
13,39,17.52,0.0101
13,40,17.37,0.0078
13,41,17.23,0.0106
13,42,17.07,0.0096
13,43,16.85,0.0106
13,44,16.77,0.0117
13,45,16.55,0.008
13,46,16.48,0.0098
13,47,16.27,0.0077
13,48,16.17,0.0072
13,49,16.01,0.0121
14,1,1.8,0.0
14,2,3.57,0.0151
14,3,5.4,0.0022
14,4,7.2,0.0017
14,5,8.96,0.0042
14,6,10.68,0.0048
14,7,12.29,0.0066
14,8,13.65,0.0089
14,9,14.92,0.0083
14,10,16.01,0.0113
14,11,16.92,0.0103
14,12,17.72,0.0099
14,13,18.39,0.008
14,14,18.85,0.0084
14,15,19.29,0.0105
14,16,19.63,0.0099
14,17,19.85,0.0103
14,18,20.02,0.0085
14,19,20.16,0.0115
14,20,20.22,0.0079
14,21,20.29,0.0111
14,22,20.27,0.0135
14,23,20.24,0.0098
14,24,20.3,0.0119
14,25,20.24,0.0105
14,26,20.16,0.0114
14,27,20.06,0.0113
14,28,19.94,0.0104
14,29,19.78,0.0098
14,30,19.64,0.0094
14,31,19.53,0.0115
14,32,19.4,0.0096
14,33,19.21,0.0096
14,34,19.08,0.011
14,35,18.83,0.0091
14,36,18.73,0.0094
14,37,18.64,0.0095
14,38,18.46,0.0119
14,39,18.25,0.0105
